Product ID,Product,Description,Price,Category
66,Pain Relief PM,This medication is prescribed to treat depression and improve mood,217.29,Sanofi
67,Haloperidol,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,339.09,AbbVie
68,Docusate Sodium,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,404.58,GlaxoSmithKline
69,SOORYEHAN HYO FERMENTED SUN BLOCK,This remedy is used to reduce inflammation and pain caused by arthritis,170.32,Merck
70,MISSHA SIGNATURE COMPLEXION COORDINATING BB,This prescription helps to control seizures in individuals with epilepsy,99.04,Johnson & Johnson
71,ShopRite Ni Calm,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,187.48,AstraZeneca
72,Acnotex acne Treatment,This medication is used to treat high blood pressure,180.79,AbbVie
73,Propofol,This remedy is used to treat insomnia and promote sleep.,114.15,Merck
74,Triamcinolone Acetonide,This drug is used to relieve symptoms of allergies such as sneezing and itching,87.38,Bristol-Myers Squibb
75,ISOPROPYL RUBBING ALCOHOL,This drug is used to relieve symptoms of allergies such as sneezing and itching,262.25,Roche
76,Furosemide,This medicine is used to manage anxiety and panic disorders,384.82,Novartis
77,DEPRESSION,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,64.3,AstraZeneca
78,Sunmark calcium antacid,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,127.4,Sanofi
79,Painazin CP,This remedy is used to treat insomnia and promote sleep.,401.73,Novartis
80,Clear Complexion Toner,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,53.8,Sanofi
81,Senna-Lax,This medication is used to treat high blood pressure,169.41,Roche
82,Vivelle-Dot,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,190.27,Sanofi
83,IBUPROFEN,This medicine is used to manage anxiety and panic disorders,191.91,Johnson & Johnson
84,Quinapril,This drug is prescribed to relieve pain and reduce fever,248.08,Johnson & Johnson
85,Carafate,This medicine is used to manage anxiety and panic disorders,403.73,AbbVie
86,Etodolac,This drug is prescribed to relieve pain and reduce fever,364.37,GlaxoSmithKline
87,Cocoa,This prescription helps to control seizures in individuals with epilepsy,94.07,Roche
88,Acetaminophen and Codeine Phosphate,This remedy is used to reduce inflammation and pain caused by arthritis,440.84,AstraZeneca
89,Treatment Set TS351031,This remedy is used to reduce inflammation and pain caused by arthritis,188.73,AstraZeneca
90,Sheer Confidence Antiperspirant Deodorant,This remedy is used to treat insomnia and promote sleep.,251.43,Bristol-Myers Squibb
91,Suave,This drug is prescribed to relieve pain and reduce fever,184.01,GlaxoSmithKline
92,Childrens Delsym,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,337.27,Roche
93,Telmisartan and Amlodipine,This drug is prescribed to relieve pain and reduce fever,128.81,Sanofi
94,California Black Oak,This drug is prescribed to relieve pain and reduce fever,137.2,Sanofi
95,Tetracycline Hydrochloride,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,414.18,Bristol-Myers Squibb
96,lisinopril,This medication is used to treat high blood pressure,444.58,AstraZeneca
97,Melvita PROSUN SPF 15 Sun,This medication is prescribed to treat depression and improve mood,203.3,AstraZeneca
98,Healthy Accents All Day Pain Relief,This remedy is used to reduce inflammation and pain caused by arthritis,116.42,Bristol-Myers Squibb
99,Tramadol Hydrochloride,This medication is prescribed to treat depression and improve mood,491.8,Roche
100,TRAMADOL HYDROCHLORIDE,This remedy is used to reduce inflammation and pain caused by arthritis,101.22,Merck
101,Oxytocin,This medicine is used to manage anxiety and panic disorders,142.19,Novartis
102,Levetiracetam,This remedy is used to treat insomnia and promote sleep.,352.39,AbbVie
103,Fenofibric Acid,This prescription helps to control seizures in individuals with epilepsy,324.34,AstraZeneca
104,Derma-Smoothe/FS,This medication is prescribed to treat depression and improve mood,319.03,Johnson & Johnson
105,Barley Grain,This medicine is used to manage anxiety and panic disorders,276.2,Merck
106,Caduet,This remedy is used to reduce inflammation and pain caused by arthritis,434.87,Pfizer
107,Ice Quake,This remedy is used to treat insomnia and promote sleep.,355.38,Bristol-Myers Squibb
108,Cardizem CD,This medicine is used to manage anxiety and panic disorders,135.85,Roche
109,Ipratropium Bromide,This drug is prescribed to relieve pain and reduce fever,151.24,Roche
110,Kitchen Citrus,This drug is used to relieve symptoms of allergies such as sneezing and itching,220.53,Sanofi
111,Lomotil,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,324.69,Sanofi
112,Famotidine,This drug is used to relieve symptoms of allergies such as sneezing and itching,387.9,Bristol-Myers Squibb
113,Veletri,This prescription helps to control seizures in individuals with epilepsy,381.61,Merck
114,CELEBREX,This remedy is used to reduce inflammation and pain caused by arthritis,200.78,Novartis
115,LBEL HYDRATESS,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,420.59,AstraZeneca
116,True Blue Spa Cooling Sunscreen Mist Broad Spectrum SPF 25 Water Resistant (40 minutes) Monoi Oil,This drug is prescribed to relieve pain and reduce fever,342.25,Sanofi
117,Triamcinolone Acetonide,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,366.93,GlaxoSmithKline
118,Atorvastatin Calcium,This drug is prescribed to relieve pain and reduce fever,154.19,AbbVie
119,ANTIBACTERIAL HAND SANITIZER,This medicine is used to manage anxiety and panic disorders,203.7,Johnson & Johnson
120,SKINFOOD ALOE SUN BB,This drug is used to relieve symptoms of allergies such as sneezing and itching,314.35,Pfizer
121,Argentum Quartz,This remedy is used to reduce inflammation and pain caused by arthritis,91.16,Novartis
122,Sterile Water,This medicine is used to manage anxiety and panic disorders,68.84,Johnson & Johnson
123,Micro-K 10 Extencaps,This drug is prescribed to relieve pain and reduce fever,52.86,Roche
124,ACT Total Care Sensitive Anticavity Tropical Mouth,This medicine is used to manage anxiety and panic disorders,125.59,Roche
125,Levothyroxine Sodium,This remedy is used to treat insomnia and promote sleep.,218.69,Novartis
126,Antibacterial Wipes,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,369.61,Merck
127,Fragmin,This remedy is used to treat insomnia and promote sleep.,167.43,Merck
128,good neighbor pharmacy milk of magnesia,This medication is used to treat high blood pressure,73.87,GlaxoSmithKline
129,OPANA,This medication is prescribed to treat depression and improve mood,198.58,AbbVie
130,Instant Hand Sanitizer Aloe Vera,This medication is used to treat high blood pressure,372.79,Bristol-Myers Squibb
131,Nitrogen,This medication is prescribed to treat depression and improve mood,313.48,Roche
132,Health Mart Aspirin,This prescription helps to control seizures in individuals with epilepsy,211.47,Johnson & Johnson
133,equate nicotine,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,191.35,Pfizer
134,Lansoprazole Amoxicillin Clarithromycin,This medicine is used to manage anxiety and panic disorders,174.62,AbbVie
135,AMLODIPINE BESYLATE,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,432.5,GlaxoSmithKline
136,Prevacid,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,491.58,Sanofi
137,Ibuprofen,This remedy is used to treat insomnia and promote sleep.,392.27,Pfizer
138,Wal-Dryl,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,303.91,Pfizer
139,METOPROLOL SUCCINATE,This drug is prescribed to relieve pain and reduce fever,437.48,Johnson & Johnson
140,Dr G Whitening FORTIFIER by EGF,This drug is used to relieve symptoms of allergies such as sneezing and itching,87.68,Bristol-Myers Squibb
141,GenRx Daily Defense Skin Repairing,This drug is used to relieve symptoms of allergies such as sneezing and itching,416.02,Johnson & Johnson
142,Symbyax,This remedy is used to treat insomnia and promote sleep.,463.7,Roche
143,Multi-Strain FluCare,This prescription helps to control seizures in individuals with epilepsy,239.31,AbbVie
144,clindamycin hydrochloride,This prescription helps to control seizures in individuals with epilepsy,459.65,Pfizer
145,LBEL COULEUR LUXE AMPLIFIER XP,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,150.88,Bristol-Myers Squibb
146,Cyproheptadine Hydrochloride,This remedy is used to treat insomnia and promote sleep.,115.99,Sanofi
147,Healing for Babies,This medication is prescribed to treat depression and improve mood,277.85,Johnson & Johnson
148,healthy accents daytime cold and flu,This drug is prescribed to relieve pain and reduce fever,352.52,Roche
149,BZK,This medication is prescribed to treat depression and improve mood,201.97,Johnson & Johnson
150,Arnica e pl. tota 30,This medication is used to treat high blood pressure,139.47,Roche
151,Escitalopram oxalate,This drug is prescribed to relieve pain and reduce fever,314.24,GlaxoSmithKline
152,Lotrel,This medication is used to treat high blood pressure,148.82,Johnson & Johnson
153,Citroma,This prescription helps to control seizures in individuals with epilepsy,366.39,AstraZeneca
154,Agaricus muscarius 30 Special Order,This drug is prescribed to relieve pain and reduce fever,93.38,Novartis
155,Omeprazole Magnesium,This prescription helps to control seizures in individuals with epilepsy,400.29,AbbVie
156,Clonazepam,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,121.74,GlaxoSmithKline
157,Instant Hand Sanitizer Extra Enriched With Vitamin E Bead Strawberry Scent,This remedy is used to treat insomnia and promote sleep.,355.11,Merck
158,Medline Alcohol Prep,This remedy is used to reduce inflammation and pain caused by arthritis,86.67,Johnson & Johnson
159,California Black Walnut,This drug is used to relieve symptoms of allergies such as sneezing and itching,436.6,Johnson & Johnson
160,lisinopril,This prescription helps to control seizures in individuals with epilepsy,220.87,Bristol-Myers Squibb
161,Nabumetone,This drug is used to relieve symptoms of allergies such as sneezing and itching,356.71,GlaxoSmithKline
162,Suave,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,77.2,GlaxoSmithKline
163,CEFAZOLIN,This drug is used to relieve symptoms of allergies such as sneezing and itching,295.03,Bristol-Myers Squibb
164,Kadian,This remedy is used to reduce inflammation and pain caused by arthritis,104.34,GlaxoSmithKline
165,Nifedipine,This drug is used to relieve symptoms of allergies such as sneezing and itching,105.87,AbbVie
166,SHOPKO ORIGINAL FORMULA EYE DROPS,This remedy is used to reduce inflammation and pain caused by arthritis,322.94,Merck
167,Clotrimazole and Betamethasone Dipropionate,This prescription helps to control seizures in individuals with epilepsy,351.57,AstraZeneca
168,Levothyroxine Sodium,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,461.78,Merck
169,HAND SANITIZER,This medication is prescribed to treat depression and improve mood,312.12,AbbVie
170,Scott Triclosan Free Antibacterial Skin Cleanser,This drug is used to relieve symptoms of allergies such as sneezing and itching,326.05,Bristol-Myers Squibb
171,Bitter Dock,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,198.54,AbbVie
172,BZK,This drug is prescribed to relieve pain and reduce fever,178.76,Johnson & Johnson
173,Citrus Scent Antibacterial Hand Wipe,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,66.29,Roche
174,Sulfamethoxazole and Trimethoprim,This medicine is used to manage anxiety and panic disorders,380.53,Sanofi
175,doxazosin,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,355.15,Novartis
176,Equaline Hemorrhoidal,This medication is used to treat high blood pressure,69.11,AbbVie
177,Sleep Aid,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,344.52,Bristol-Myers Squibb
178,YES TO GRAPEFRUIT CC CREAM - LIGHT,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,113.79,GlaxoSmithKline
179,Prazosin Hydrochloride,This remedy is used to reduce inflammation and pain caused by arthritis,330.58,AstraZeneca
180,Famotidine,This remedy is used to reduce inflammation and pain caused by arthritis,378.15,AbbVie
181,G-Tuss-NL Ped,This medicine is used to manage anxiety and panic disorders,197.45,Pfizer
182,Healthy Accents Cold and Cough,This remedy is used to treat insomnia and promote sleep.,294.5,Johnson & Johnson
183,Cheongin Samrakhwan,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,439.47,Roche
184,Mirtazapine,This remedy is used to treat insomnia and promote sleep.,170.84,GlaxoSmithKline
185,Duloxetine,This remedy is used to reduce inflammation and pain caused by arthritis,402.06,AstraZeneca
186,NutraRX Digest-Able,This prescription helps to control seizures in individuals with epilepsy,86.57,Merck
187,Valacyclovir Hydrochloride,This remedy is used to reduce inflammation and pain caused by arthritis,350.0,GlaxoSmithKline
188,Atomoxetine hydrochloride,This medicine is used to manage anxiety and panic disorders,131.83,GlaxoSmithKline
189,Orange,This remedy is used to reduce inflammation and pain caused by arthritis,387.83,AbbVie
190,Clearasil Ultra,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,90.01,Sanofi
191,Baby Orajel Naturals,This remedy is used to reduce inflammation and pain caused by arthritis,295.12,Novartis
192,CVS PHARMACY,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,393.02,Novartis
193,Scilla Crataegus,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,225.11,Novartis
194,Sertraline Hydrochloride,This drug is used to relieve symptoms of allergies such as sneezing and itching,273.5,Novartis
195,Edarbi,This remedy is used to reduce inflammation and pain caused by arthritis,116.25,Novartis
196,BRIGHTENING POWDER,This remedy is used to reduce inflammation and pain caused by arthritis,156.13,Novartis
197,DIGOX,This remedy is used to reduce inflammation and pain caused by arthritis,119.93,Merck
198,SALIX NIGRA POLLEN,This drug is used to relieve symptoms of allergies such as sneezing and itching,373.36,AstraZeneca
199,Verapamil Hydrochloride,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,194.43,Merck
200,Lisinopril,This medicine is used to manage anxiety and panic disorders,337.06,Johnson & Johnson
201,cephalexin,This remedy is used to reduce inflammation and pain caused by arthritis,473.82,Novartis
202,spironolactone,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,146.92,Bristol-Myers Squibb
203,Corn Grain,This medication is used to treat high blood pressure,117.77,AbbVie
204,Quinapril,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,239.29,AstraZeneca
205,DELFLEX,This medication is prescribed to treat depression and improve mood,104.01,AstraZeneca
206,Inon Ace,This medicine is used to manage anxiety and panic disorders,379.45,Johnson & Johnson
207,Minivelle,This remedy is used to treat insomnia and promote sleep.,487.85,AstraZeneca
208,Givenchy Photo Perfexion Fluid Foundation SPF 20 Perfect Praline Tint 5,This medicine is used to manage anxiety and panic disorders,277.65,Pfizer
209,cold and allergy,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,210.78,Roche
210,Complete Eye Relief Single Use,This remedy is used to reduce inflammation and pain caused by arthritis,101.5,Bristol-Myers Squibb
211,Multiple Miasm,This remedy is used to treat insomnia and promote sleep.,369.71,Johnson & Johnson
212,Pepper Tree Pollen,This medication is prescribed to treat depression and improve mood,188.43,Bristol-Myers Squibb
213,Detox Intestinum,This drug is used to relieve symptoms of allergies such as sneezing and itching,495.95,Sanofi
214,DONEPEZIL HYDROCHLORIDE,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,196.84,Pfizer
215,Pain Relief Aspirin,This remedy is used to reduce inflammation and pain caused by arthritis,356.3,Bristol-Myers Squibb
216,rizatriptan benzoate,This remedy is used to treat insomnia and promote sleep.,413.66,Merck
217,SUMADAN XLT,This drug is used to relieve symptoms of allergies such as sneezing and itching,294.15,Bristol-Myers Squibb
218,Cyclobenzaprine Hydrochloride,This remedy is used to reduce inflammation and pain caused by arthritis,159.45,Pfizer
219,Olanzapine and Fluoxetine,This medicine is used to manage anxiety and panic disorders,434.45,Roche
220,Aspergillus flavus,This drug is used to relieve symptoms of allergies such as sneezing and itching,254.32,AstraZeneca
221,Fluconazole,This prescription helps to control seizures in individuals with epilepsy,149.32,Merck
222,Flu Relief Therapy Day Time,This medication is used to treat high blood pressure,428.58,Pfizer
223,Levetiracetam,This medication is prescribed to treat depression and improve mood,191.11,AbbVie
224,ZOFRAN,This remedy is used to reduce inflammation and pain caused by arthritis,355.92,AbbVie
225,Benzoyl Peroxide Emollient,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,108.99,AbbVie
226,good sense day time,This prescription helps to control seizures in individuals with epilepsy,382.43,AbbVie
227,Banana Boat Protective Dry SPF 15,This remedy is used to treat insomnia and promote sleep.,366.79,Roche
228,Foundation Primer SPF 15,This drug is used to relieve symptoms of allergies such as sneezing and itching,261.44,Novartis
229,Micardis HCT,This drug is prescribed to relieve pain and reduce fever,215.73,Sanofi
230,Res Balancer,This drug is used to relieve symptoms of allergies such as sneezing and itching,483.35,Novartis
231,Select Brand Anti-Nausea,This medicine is used to manage anxiety and panic disorders,138.33,Roche
232,Artemisia No Smoking,This medication is prescribed to treat depression and improve mood,319.87,Merck
233,Topcare Cough and Sore Throat,This remedy is used to treat insomnia and promote sleep.,154.84,Johnson & Johnson
234,OXYGEN,This prescription helps to control seizures in individuals with epilepsy,431.99,Novartis
235,Parastat,This remedy is used to treat insomnia and promote sleep.,456.89,Pfizer
236,Sage,This drug is prescribed to relieve pain and reduce fever,126.71,Novartis
237,PROAIRHFA,This drug is used to relieve symptoms of allergies such as sneezing and itching,219.21,AstraZeneca
238,infants acetaminophen,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,430.17,Merck
239,Chaetomium globosum,This medicine is used to manage anxiety and panic disorders,309.55,GlaxoSmithKline
240,Fentanyl,This drug is used to relieve symptoms of allergies such as sneezing and itching,450.6,Roche
241,HYPERICUM PERFORATUM,This drug is prescribed to relieve pain and reduce fever,360.6,Novartis
242,RESCRIPTOR,This medication is used to treat high blood pressure,282.45,Merck
243,Perfecting Liquid Foundation Alabaster,This prescription helps to control seizures in individuals with epilepsy,54.73,AstraZeneca
244,Curad Alcohol,This medication is prescribed to treat depression and improve mood,111.12,Novartis
245,LORAZEPAM,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,137.49,Bristol-Myers Squibb
246,Aquaphor Healing,This medicine is used to manage anxiety and panic disorders,479.18,AstraZeneca
247,EPZICOM,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,290.83,Roche
248,ERY-TAB,This medicine is used to manage anxiety and panic disorders,91.71,AbbVie
249,granisetron hydrochloride,This medicine is used to manage anxiety and panic disorders,403.2,Roche
250,Zicam,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,337.7,AstraZeneca
251,Gumsol,This medication is prescribed to treat depression and improve mood,487.12,Merck
252,Treatment Set TS342370,This medication is prescribed to treat depression and improve mood,88.07,AbbVie
253,Allure Creamy Petroleum,This medicine is used to manage anxiety and panic disorders,283.63,Roche
254,CPDA-1,This remedy is used to reduce inflammation and pain caused by arthritis,432.26,Johnson & Johnson
255,ALOE,This remedy is used to treat insomnia and promote sleep.,453.67,Merck
256,Amoxicillin,This prescription helps to control seizures in individuals with epilepsy,366.99,GlaxoSmithKline
257,ShopRite Allergy,This medicine is used to treat bacterial infections such as pneumonia and bronchitis,308.22,Johnson & Johnson
258,Arnica Nettle Burn and Bite Special Order,This remedy is used to reduce inflammation and pain caused by arthritis,289.72,Johnson & Johnson
259,Care One anti diarrheal,This prescription helps to control seizures in individuals with epilepsy,64.39,Pfizer
260,Sugar Beet Pollen,This prescription helps to control seizures in individuals with epilepsy,435.13,Roche
261,Secret Outlast Clear,This remedy is used to treat insomnia and promote sleep.,365.09,Sanofi
262,Anti-Bacterial Hand Gel Caribbean Escape,This remedy is used to treat insomnia and promote sleep.,104.21,AbbVie
263,"Standardized Mite Mix, Dermatophagoides pteronyssinus and Dermatophagoides farinae, 30000 AU per mL",This prescription helps to lower cholesterol levels and reduce the risk of heart disease,204.06,Novartis
264,Donepezil Hydrochloride,This drug is prescribed to relieve pain and reduce fever,491.32,Roche
265,ADVAIR,This prescription helps to control seizures in individuals with epilepsy,71.13,Sanofi
266,INFANRIX,This remedy is used to reduce inflammation and pain caused by arthritis,82.85,AbbVie
267,Childrens Plus Cough and Sore Throat,This drug is used to relieve symptoms of allergies such as sneezing and itching,174.43,Johnson & Johnson
268,tizanidine hydrochloride,This medication is used to treat high blood pressure,231.72,GlaxoSmithKline
269,Ketorolac Tromethamine,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,345.09,Roche
270,DermaCen Instant Hand Sanitizer with Aloe,This drug is used to relieve symptoms of allergies such as sneezing and itching,356.72,AstraZeneca
271,allergy relief,This medication is prescribed to treat depression and improve mood,100.11,Johnson & Johnson
272,Propranolol Hyrochloride,This remedy is used to reduce inflammation and pain caused by arthritis,257.7,AbbVie
273,enfuselle BODY SUNSCREEN BROAD SPECTRUM SPF 30,This drug is prescribed to relieve pain and reduce fever,247.39,Bristol-Myers Squibb
274,Sprayology DigestivEase,This drug is used to relieve symptoms of allergies such as sneezing and itching,300.94,Merck
275,Tretinoin,This medication is used to treat high blood pressure,319.38,Johnson & Johnson
276,Treatment Set TS332507,This remedy is used to treat insomnia and promote sleep.,334.53,Roche
277,Wart Freee,This drug is used to relieve symptoms of allergies such as sneezing and itching,330.15,AbbVie
278,Balmex Diaper Rash,This remedy is used to treat insomnia and promote sleep.,381.31,Novartis
279,"ACONITUM, RADIX",This medication is prescribed to treat depression and improve mood,90.61,Novartis
280,Nettle,This medicine is used to manage anxiety and panic disorders,141.77,Sanofi
281,Verapamil Hydrochloride,This remedy is used to reduce inflammation and pain caused by arthritis,116.56,Novartis
282,Cytomel,This remedy is used to treat insomnia and promote sleep.,183.05,GlaxoSmithKline
283,Perphenazine and Amitriptyline Hydrochloride,This medication is used to treat high blood pressure,201.47,GlaxoSmithKline
284,SUTENT,This drug is used to relieve symptoms of allergies such as sneezing and itching,463.39,Sanofi
285,Fungustat,This medicine is used to manage anxiety and panic disorders,478.24,Pfizer
286,Groundsel Tree,This prescription helps to control seizures in individuals with epilepsy,282.58,GlaxoSmithKline
287,LBEL COULEUR LUXE AMPLIFIER XP,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,264.98,Johnson & Johnson
288,CALCITRIOL,This prescription helps to lower cholesterol levels and reduce the risk of heart disease,138.59,Merck
289,Good Sense Anti Itch,This remedy is used to reduce inflammation and pain caused by arthritis,276.47,Johnson & Johnson
